epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1134.09,1.19831,0.65662,1.12482,0.85978,0.80729,0.87997,0.45703,1.67281,0.84522,1.40208,0.000742815,0.000742815,0.000742815
58,1154.02,1.20428,0.66244,1.1287,0.85462,0.82278,0.86143,0.45967,1.6429,0.82933,1.4067,0.000726312,0.000726312,0.000726312
59,1174.08,1.21967,0.66273,1.11784,0.87234,0.80728,0.86645,0.4616,1.65448,0.85484,1.39488,0.000709809,0.000709809,0.000709809
60,1195.2,1.18404,0.6542,1.11895,0.86178,0.79514,0.8482,0.45933,1.62421,0.85368,1.37944,0.000693305,0.000693305,0.000693305
61,1215.61,1.19002,0.64128,1.11322,0.87246,0.78815,0.85722,0.44444,1.67895,0.90063,1.41779,0.000676802,0.000676802,0.000676802
62,1237.47,1.18673,0.64622,1.11174,0.80811,0.8401,0.85794,0.44912,1.70838,0.85317,1.42713,0.000660299,0.000660299,0.000660299
63,1257.3,1.19443,0.65171,1.11371,0.85625,0.81111,0.87172,0.45895,1.67871,0.83518,1.4014,0.000643795,0.000643795,0.000643795
64,1276.68,1.18029,0.64114,1.11039,0.8599,0.78731,0.86203,0.46066,1.67591,0.82335,1.39398,0.000627292,0.000627292,0.000627292
65,1296.43,1.16776,0.63568,1.10471,0.83918,0.79658,0.84925,0.45231,1.67567,0.83294,1.39764,0.000610789,0.000610789,0.000610789
66,1316.53,1.14646,0.6171,1.09582,0.90051,0.7786,0.86951,0.45534,1.67372,0.84517,1.41056,0.000594286,0.000594286,0.000594286
67,1337.11,1.1417,0.62222,1.07902,0.86669,0.78739,0.86649,0.46951,1.66255,0.82785,1.41604,0.000577782,0.000577782,0.000577782
68,1358.44,1.14674,0.61531,1.09052,0.84074,0.81447,0.87271,0.45307,1.65826,0.84919,1.4073,0.000561279,0.000561279,0.000561279
69,1379.63,1.12893,0.60062,1.08135,0.8334,0.84164,0.89157,0.46374,1.64875,0.8046,1.38889,0.000544776,0.000544776,0.000544776
70,1400.6,1.11501,0.5996,1.07303,0.86564,0.8415,0.88007,0.46793,1.66169,0.8346,1.39525,0.000528272,0.000528272,0.000528272
71,1419.82,1.12179,0.60009,1.07299,0.83171,0.8373,0.85989,0.45572,1.68217,0.81755,1.41568,0.000511769,0.000511769,0.000511769
72,1439.08,1.12338,0.60353,1.07081,0.84445,0.8308,0.873,0.47,1.66736,0.83199,1.40445,0.000495266,0.000495266,0.000495266
73,1460.38,1.10766,0.58571,1.07246,0.87716,0.81221,0.87154,0.46246,1.67765,0.87062,1.41055,0.000478762,0.000478762,0.000478762
74,1479.99,1.09097,0.58236,1.06741,0.86253,0.81185,0.85785,0.4553,1.65404,0.8468,1.39488,0.000462259,0.000462259,0.000462259
75,1499.73,1.09493,0.58867,1.07027,0.85863,0.83952,0.89397,0.47604,1.67777,0.76332,1.41348,0.000445756,0.000445756,0.000445756
76,1519.36,1.08171,0.57519,1.06631,0.90386,0.81011,0.89225,0.48144,1.67046,0.7958,1.39136,0.000429253,0.000429253,0.000429253
77,1538.99,1.0783,0.57714,1.05912,0.85333,0.82002,0.88096,0.47226,1.66519,0.79768,1.42852,0.000412749,0.000412749,0.000412749
78,1558.4,1.07266,0.56758,1.05747,0.87613,0.82564,0.89601,0.48491,1.64997,0.80951,1.40201,0.000396246,0.000396246,0.000396246
79,1577.83,1.0614,0.55449,1.04662,0.85967,0.8251,0.89037,0.47564,1.66462,0.80722,1.41502,0.000379743,0.000379743,0.000379743
80,1597.54,1.04853,0.56514,1.04535,0.89075,0.82883,0.89065,0.46666,1.67721,0.82069,1.42164,0.000363239,0.000363239,0.000363239
81,1617.99,1.03274,0.54483,1.04117,0.85934,0.82735,0.88346,0.46554,1.67438,0.81826,1.42264,0.000346736,0.000346736,0.000346736
82,1637.77,1.03778,0.5517,1.03236,0.87829,0.80253,0.88299,0.47151,1.67643,0.83349,1.42152,0.000330233,0.000330233,0.000330233
83,1657.21,1.03858,0.55754,1.03932,0.86234,0.81602,0.87796,0.47022,1.69596,0.80722,1.41536,0.000313729,0.000313729,0.000313729
84,1676.54,1.02981,0.54102,1.04003,0.8581,0.84509,0.89217,0.47056,1.69438,0.79528,1.43224,0.000297226,0.000297226,0.000297226
85,1695.89,1.00519,0.54238,1.02223,0.89189,0.80039,0.87247,0.47198,1.68218,0.80668,1.43788,0.000280723,0.000280723,0.000280723
86,1715.16,1.02323,0.53731,1.02914,0.89036,0.81767,0.88465,0.46704,1.69238,0.79597,1.42733,0.00026422,0.00026422,0.00026422
87,1735.24,1.00713,0.53233,1.03003,0.8663,0.82507,0.8877,0.47199,1.67998,0.78814,1.42663,0.000247716,0.000247716,0.000247716
88,1755.98,1.01826,0.53854,1.02689,0.8946,0.77097,0.88029,0.46492,1.6781,0.82799,1.41284,0.000231213,0.000231213,0.000231213
89,1777.14,0.99677,0.5234,1.01741,0.86307,0.83327,0.88648,0.47046,1.68426,0.81286,1.42055,0.00021471,0.00021471,0.00021471
90,1798.48,0.9853,0.52319,1.01861,0.88164,0.83322,0.8962,0.46299,1.70372,0.81435,1.43424,0.000198206,0.000198206,0.000198206
91,1845.99,1.0057,0.49401,1.02196,0.85348,0.8398,0.87113,0.46319,1.69368,0.84262,1.43696,0.000181703,0.000181703,0.000181703
92,1867.02,0.94991,0.46134,0.99612,0.84332,0.84343,0.88718,0.46586,1.69026,0.81146,1.43755,0.0001652,0.0001652,0.0001652
93,1888.17,0.93607,0.45779,0.99125,0.86292,0.83087,0.88381,0.4669,1.67693,0.80286,1.43116,0.000148696,0.000148696,0.000148696
94,1907.94,0.92679,0.45074,0.99769,0.84821,0.85451,0.88969,0.46785,1.67007,0.77613,1.41813,0.000132193,0.000132193,0.000132193
95,1927.57,0.9237,0.44696,0.99435,0.84139,0.83398,0.87396,0.46812,1.66111,0.81386,1.41249,0.00011569,0.00011569,0.00011569
96,1947.27,0.91353,0.44855,0.98567,0.83613,0.8478,0.886,0.46611,1.6754,0.78427,1.43183,9.91865e-05,9.91865e-05,9.91865e-05
97,1968.82,0.9093,0.44356,0.98347,0.85251,0.85213,0.891,0.46974,1.66269,0.79069,1.42157,8.26832e-05,8.26832e-05,8.26832e-05
98,1989.54,0.90079,0.44353,0.98112,0.84431,0.85727,0.88966,0.4671,1.66429,0.78744,1.42541,6.61799e-05,6.61799e-05,6.61799e-05
99,2008.75,0.90028,0.44201,0.9849,0.83985,0.8558,0.8857,0.46833,1.67337,0.79902,1.433,4.96766e-05,4.96766e-05,4.96766e-05
100,2028.21,0.88062,0.4362,0.97049,0.86472,0.83487,0.88956,0.46708,1.67209,0.79626,1.43077,3.31733e-05,3.31733e-05,3.31733e-05
